candidate_id	axis	category	topic	statement_id	statement_text	value	source	confidence	justification
ענבר בזק	דעות	שסעים פנימיים בחברה היהודית	תיקון השסעים בחברה היהודית	D-017	ביקורת על מחנה המרכז־שמאל כאשר הוא נתפס כמנותק, אליטיסטי או חסר רגישות לפריפריה	mixed	profile_text	68	הדגש על עצמאים ופריפריה מרמז על ביקורת ייצוג, אך לא נמצאה ביקורת מפורשת על המרכז־שמאל כאליטיסטי.
ענבר בזק	דעות	שסעים פנימיים בחברה היהודית	תיקון השסעים בחברה היהודית	D-018	העדפה לתיקון יחסי מרכז־פריפריה כחלק מבניית מחנה דמוקרטי רחב	supports	profile_text	93	הפרופיל מציג את תיקון יחסי מרכז־פריפריה וחיזוק הגליל כציר מרכזי בעשייתה.
ענבר בזק	דעות	מדינה יהודית ודמוקרטית, דת ומדינה	דת ומדינה, חירות אזרחית ושוויון חובות	D-019	העדפה לזהות ישראלית שבה הרכיב הדמוקרטי קודם לרכיב הדתי־לאומי כאשר יש התנגשות ביניהם	supports	profile_text	72	הצטרפותה למחנה הדמוקרטי־ליברלי והדגש על שלטון החוק תומכים בהעדפת הרכיב הדמוקרטי בעת התנגשות.
ענבר בזק	דעות	מדינה יהודית ודמוקרטית, דת ומדינה	דת ומדינה, חירות אזרחית ושוויון חובות	D-020	העדפה לזהות ישראלית שבה היהדות היא מקור תרבותי וערכי, אך אינה צריכה לשלוט במוסדות המדינה	unknown	profile_text	0	לא נמצאה בפרופיל התייחסות ליהדות כמקור תרבותי שאינו שולט במוסדות המדינה.
ענבר בזק	דעות	מדינה יהודית ודמוקרטית, דת ומדינה	דת ומדינה, חירות אזרחית ושוויון חובות	D-021	תמיכה בהפרדה ברורה יותר בין סמכות דתית לבין סמכות מדינתית	mixed	profile_text	62	היא מזוהה כליברלית־מרכזית, אך לא נמצאה בפרופיל עמדה מפורשת על הפרדת דת ומדינה.
ענבר בזק	דעות	מדינה יהודית ודמוקרטית, דת ומדינה	דת ומדינה, חירות אזרחית ושוויון חובות	D-022	נכונות לשמר מרכיבים יהודיים־מסורתיים במרחב הציבורי כדי לאפשר שותפות עם ציבור מסורתי ודתי	unknown	profile_text	0	לא נמצאה בפרופיל התייחסות לשימור מרכיבים יהודיים־מסורתיים במרחב הציבורי.
ענבר בזק	דעות	מדינה יהודית ודמוקרטית, דת ומדינה	דת ומדינה, חירות אזרחית ושוויון חובות	D-023	התנגדות לכפייה דתית בנושאי נישואין, שבת, חינוך, מעמד אישי או שירות ציבורי	mixed	profile_text	61	יש בסיס כללי לליברליזם אזרחי, אך אין בפרופיל עמדה קונקרטית נגד כפייה דתית.
ענבר בזק	דעות	מדינה יהודית ודמוקרטית, דת ומדינה	דת ומדינה, חירות אזרחית ושוויון חובות	D-024	תמיכה בשוויון חובות אזרחיות בין קבוצות, כולל שאלת גיוס חרדים או שירות אזרחי	unknown	profile_text	0	לא נמצאה בפרופיל התייחסות מספקת לשוויון חובות, גיוס חרדים או שירות אזרחי.
ענבר בזק	דעות	הפרדה, גישור או שתי מדינות לעם היהודי	גישור עם המחנה השני ובריתות רחבות	D-025	אמונה שהפער בין ישראל ליברלית לבין ישראל שמרנית־דתית עדיין ניתן לגישור פוליטי וחברתי	supports	profile_text	70	הפרופיל מציג אותה כמרכז־ליברלית פרגמטית ולא כשחקנית קצה, ולכן יש בסיס לאמונה בגישור חברתי־פוליטי.
ענבר בזק	דעות	הפרדה, גישור או שתי מדינות לעם היהודי	תיקון השסעים בחברה היהודית	D-026	ראיית הפער בין המחנות כעמוק עד כדי צורך בהסדרים של אוטונומיה, ביזור או הפרדה חלקית	unknown	profile_text	0	לא נמצאה בפרופיל תמיכה באוטונומיה, ביזור או הפרדה חלקית בין מחנות.
ענבר בזק	דעות	הפרדה, גישור או שתי מדינות לעם היהודי	תיקון השסעים בחברה היהודית	D-027	תמיכה בביזור סמכויות לשלטון מקומי כדי לאפשר לקהילות שונות לחיות לפי אורחות חיים שונים	mixed	profile_text	70	הפרופיל מדגיש רשויות מקומיות כזרוע ביצוע מרכזית, אך לא בהקשר של אורחות חיים שונים בין קהילות.
ענבר בזק	דעות	הפרדה, גישור או שתי מדינות לעם היהודי	תיקון השסעים בחברה היהודית	D-028	התנגדות לרעיון של שתי מדינות לעם היהודי והעדפה למאבק על מסגרת מדינתית אחת משותפת	unknown	profile_text	0	לא נמצאה בפרופיל התייחסות לרעיון של שתי מדינות לעם היהודי או למסגרת מדינתית פנימית אחת.
ענבר בזק	דעות	הפרדה, גישור או שתי מדינות לעם היהודי	תיקון השסעים בחברה היהודית	D-029	פתיחות לרעיון של הסדרים פנימיים חדשים בין חילונים, דתיים, חרדים, מסורתיים וליברלים	unknown	profile_text	0	לא נמצאה בפרופיל פתיחות מפורשת להסדרים פנימיים חדשים בין חילונים, דתיים, חרדים ומסורתיים.
ענבר בזק	דעות	הפרדה, גישור או שתי מדינות לעם היהודי	תיקון השסעים בחברה היהודית	D-030	ראיית המשבר הישראלי לא רק כמאבק ימין־שמאל אלא כמאבק בין מודלים שונים של חיים משותפים	mixed	profile_text	68	הפרופיל מציג את המשבר גם דרך כלכלה, פריפריה וייצוג עצמאים, אך לא כמאבק מפורש בין מודלים של חיים משותפים.
ענבר בזק	דעות	יהודים־ערבים, שוויון אזרחי וחיים משותפים	שוויון אזרחי וחיים משותפים יהודים־ערבים	D-031	ראיית אזרחי ישראל הערבים כחלק מלא מהדיון על עתיד המדינה ולא כעניין נפרד או משני	mixed	profile_text	60	הפרופיל מציין קו מרכז־ליברלי ושוויון אזרחי כללי, אך אין בו עיסוק מרכזי באזרחים הערבים.
ענבר בזק	דעות	יהודים־ערבים, שוויון אזרחי וחיים משותפים	שוויון אזרחי וחיים משותפים יהודים־ערבים	D-032	תמיכה בשוויון אזרחי גם כאשר הוא מחייב שינוי בחוקים, סמלים או חלוקת משאבים	mixed	profile_text	62	יש בסיס כללי לליברליזם אזרחי ושוויון, אך אין בפרופיל עמדה מפורשת לשינוי חוקים, סמלים או חלוקת משאבים.
ענבר בזק	דעות	יהודים־ערבים, שוויון אזרחי וחיים משותפים	שוויון אזרחי וחיים משותפים יהודים־ערבים	D-033	תמיכה בשותפות פוליטית יהודית־ערבית כחלק מבניית מחנה דמוקרטי רחב	unknown	profile_text	0	לא נמצאה בפרופיל תמיכה מפורשת בשותפות פוליטית יהודית־ערבית.
ענבר בזק	דעות	יהודים־ערבים, שוויון אזרחי וחיים משותפים	שוויון אזרחי וחיים משותפים יהודים־ערבים	D-034	העדפה לשילוב אזרחים ערבים במוקדי קבלת החלטות, כולל בתחומים מדיניים וביטחוניים	unknown	profile_text	0	לא נמצאה בפרופיל התייחסות לשילוב אזרחים ערבים במוקדי קבלת החלטות.
ענבר בזק	דעות	יהודים־ערבים, שוויון אזרחי וחיים משותפים	שוויון אזרחי וחיים משותפים יהודים־ערבים	D-035	התנגדות לגזענות, הדרה או דה־לגיטימציה של הציבור הערבי בישראל	mixed	profile_text	63	הפרופיל מצביע על קו ליברלי־דמוקרטי, אך אינו עוסק ישירות בגזענות או דה־לגיטימציה של הציבור הערבי.
ענבר בזק	דעות	יהודים־ערבים, שוויון אזרחי וחיים משותפים	שוויון אזרחי וחיים משותפים יהודים־ערבים	D-036	הכרה בכך שחיים משותפים מחייבים גם התמודדות עם פחדים, טראומות וחוסר אמון בשני הצדדים	unknown	profile_text	0	לא נמצאה בפרופיל התייחסות לפחדים, טראומות וחוסר אמון ביחסי יהודים־ערבים.
ענבר בזק	דעות	ביטחון, פלסטינים והסדר מדיני	פתרונות מדיניים וביטחון ארוך טווח	D-037	תמיכה בנתיב מדיני ארוך טווח מול הפלסטינים, גם לאחר שבעה באוקטובר	unknown	profile_text	0	הפרופיל מציין שאין לה משנה מדינית מפורטת בנושא הסכסוך הישראלי־פלסטיני.
ענבר בזק	דעות	ביטחון, פלסטינים והסדר מדיני	פתרונות מדיניים וביטחון ארוך טווח	D-038	העדפה להיפרדות מדינית וביטחונית מהפלסטינים כדי לשמור על ישראל יהודית ודמוקרטית	unknown	profile_text	0	לא נמצאה בפרופיל עמדה ברורה על היפרדות מדינית וביטחונית מהפלסטינים.
ענבר בזק	דעות	ביטחון, פלסטינים והסדר מדיני	פתרונות מדיניים וביטחון ארוך טווח	D-039	תמיכה בפתרון שתי מדינות או במודל קרוב לו כיעד אסטרטגי	unknown	profile_text	0	לא נמצאה בפרופיל תמיכה מפורשת בפתרון שתי מדינות או במודל קרוב לו.
ענבר בזק	דעות	ביטחון, פלסטינים והסדר מדיני	פתרונות מדיניים וביטחון ארוך טווח	D-040	פתיחות למודלים מדיניים מורכבים כגון קונפדרציה, גבולות פתוחים או הסדר אזורי	unknown	profile_text	0	לא נמצאה בפרופיל פתיחות למודלים מדיניים מורכבים כגון קונפדרציה או הסדר אזורי.
ענבר בזק	דעות	ביטחון, פלסטינים והסדר מדיני	פתרונות מדיניים וביטחון ארוך טווח	D-041	התנגדות להמשך שליטה ישראלית קבועה על אוכלוסייה פלסטינית ללא זכויות אזר מלאות	unknown	profile_text	0	לא נמצאה בפרופיל עמדה ברורה ביחס להמשך שליטה ישראלית על אוכלוסייה פלסטינית.
ענבר בזק	דעות	ביטחון, פלסטינים והסדר מדיני	פתרונות מדיניים וביטחון ארוך טווח	D-042	ראיית הסדר אזורי עם מדינות ערביות מתונות כחלק מרכזי מהעתיד הביטחוני של ישראל	unknown	profile_text	0	לא נמצאה בפרופיל ראיית הסדר אזורי כחלק מרכזי מהעתיד הביטחוני.
ענבר בזק	דעות	שבעה באוקטובר, אחריות, חטופים וזיכרון לאומי	אחריות, ועדת חקירה ושיקום אחרי 7.10	D-043	ראיית שבעה באוקטובר כאירוע שמחייב חשבון נפש מדינתי, מוסדי וחברתי עמוק	unknown	profile_text	0	לא נמצאה בפרופיל התייחסות מספקת לשבעה באוקטובר כחשבון נפש מדינתי, מוסדי וחברתי.
ענבר בזק	דעות	שבעה באוקטובר, אחריות, חטופים וזיכרון לאומי	אחריות, ועדת חקירה ושיקום אחרי 7.10	D-044	תמיכה בוועדת חקירה ממלכתית ובאחריות אישית של הדרג המדיני והביטחוני	unknown	profile_text	0	לא נמצאה בפרופיל התייחסות לוועדת חקירה ממלכתית או לאחריות אישית בעקבות שבעה באוקטובר.
ענבר בזק	דעות	שבעה באוקטובר, אחריות, חטופים וזיכרון לאומי	אחריות, ועדת חקירה ושיקום אחרי 7.10	D-045	ראיית החטופים והמשפחות כסמל מוסרי מרכזי של אחריות המדינה לאזרחיה	unknown	profile_text	0	לא נמצאה בפרופיל עמדה ברורה על החטופים והמשפחות כסמל מוסרי של אחריות המדינה.
ענבר בזק	דעות	שבעה באוקטובר, אחריות, חטופים וזיכרון לאומי	אחריות, ועדת חקירה ושיקום אחרי 7.10	D-046	התנגדות לשימוש פוליטי ציני בכאב של משפחות, נפגעים או קהילות שנפגעו במלחמה	unknown	profile_text	0	לא נמצאה בפרופיל התייחסות לשימוש פוליטי בכאב משפחות, נפגעים או קהילות במלחמה.
ענבר בזק	דעות	שבעה באוקטובר, אחריות, חטופים וזיכרון לאומי	אחריות, ועדת חקירה ושיקום אחרי 7.10	D-047	תמיכה בשיקום העוטף והקהילות שנפגעו כחלק מהחוזה הבסיסי בין המדינה לאזרחיה	mixed	profile_text	70	הפרופיל מדגיש חיזוק הצפון והפריפריה, כולל מצבי חירום ומלחמה, אך אינו מתמקד בעוטף או בנפגעי שבעה באוקטובר.
ענבר בזק	דעות	שבעה באוקטובר, אחריות, חטופים וזיכרון לאומי	אחריות, ועדת חקירה ושיקום אחרי 7.10	D-048	ראיית הטראומה של שבעה באוקטובר כבסיס לבניית מדיניות חדשה, לא רק כהצדקה להמשך מלחמה	unknown	profile_text	0	לא נמצאה בפרופיל ראיית הטראומה של שבעה באוקטובר כבסיס למדיניות חדשה.
ענבר בזק	דעות	חברה, כלכלה, רווחה ופריפריה	חברה, כלכלה, רווחה ושירותים ציבוריים	D-049	הצבת צמצום אי־שוויון חברתי־כלכלי כנושא מרכזי בזהות הפוליטית	supports	profile_text	86	הפרופיל מציב עצמאים, עסקים קטנים, פריפריה ורשת ביטחון כלכלית בליבת זהותה הציבורית.
ענבר בזק	דעות	חברה, כלכלה, רווחה ופריפריה	חברה, כלכלה, רווחה ושירותים ציבוריים	D-050	תמיכה בהרחבת אחריות המדינה בתחומי דיור, חינוך, בריאות ורווחה	mixed	profile_text	70	היא תומכת ברשת ביטחון לעצמאים ובהשקעה בתשתיות, אך לא מוצגת תפיסת רווחה רחבה בכל התחומים.
ענבר בזק	דעות	חברה, כלכלה, רווחה ופריפריה	חברה, כלכלה, רווחה ושירותים ציבוריים	D-051	תמיכה בזכויות עובדים, עבודה מאורגנת והגנה על שכבות מוחלשות	mixed	profile_text	68	הפרופיל מדגיש הגנה סוציאלית לעצמאים ועסקים קטנים, אך פחות עבודה מאורגנת או שכבות מוחלשות במובן הקלאסי.
ענבר בזק	דעות	חברה, כלכלה, רווחה ופריפריה	חברה, כלכלה, רווחה ושירותים ציבוריים	D-052	ראיית הפריפריה הגיאוגרפית והחברתית כשותפה אסטרטגית ולא כקהל יעד משני	supports	profile_text	96	הפרופיל מציג את הפריפריה הגיאוגרפית והחברתית כשותפה אסטרטגית וכחלק מרכזי בזהותה.
ענבר בזק	דעות	חברה, כלכלה, רווחה ופריפריה	חברה, כלכלה, רווחה ושירותים ציבוריים	D-053	תמיכה בהשקעה ארוכת טווח בנגב, בגליל, בעוטף ובערים מוחלשות	supports	profile_text	94	הפרופיל מדגיש פיתוח הגליל, חיזוק הצפון, תשתיות, תעסוקה, חקלאות ורשויות מקומיות.
ענבר בזק	דעות	חברה, כלכלה, רווחה ופריפריה	חברה, כלכלה, רווחה ושירותים ציבוריים	D-054	חיבור בין צדק חברתי לבין בניית מחנה פוליטי חדש ורחב יותר	supports	profile_text	78	הפרופיל מחבר בין כלכלה אזרחית, פריפריה, עצמאים ובניית מחנה דמוקרטי־ליברלי רחב יותר.
ענבר בזק	דעות	סגנון פשרה, גבולות ויכולת הסכמה	גישור עם המחנה השני ובריתות רחבות	D-055	נכונות לפשרות פוליטיות רחבות כדי לשקם את המדינה גם במחיר ויתור אידיאולוגי חלקי	supports	profile_text	76	הפרופיל מתאר אותה כאשת שטח פרגמטית ופחות כאשת סיסמאות אידיאולוגיות.
ענבר בזק	דעות	סגנון פשרה, גבולות ויכולת הסכמה	הגנה על הדמוקרטיה, שלטון החוק וקווים אדומים	D-056	הצבת קווים אדומים ברורים שמעליהם אין מקום לפשרה עם יריבים פוליטיים	mixed	profile_text	62	יש לה זיהוי עם שלטון חוק ודמוקרטיה, אך הפרופיל אינו מציג קווים אדומים מפורשים ונוקשים.
ענבר בזק	דעות	סגנון פשרה, גבולות ויכולת הסכמה	גישור עם המחנה השני ובריתות רחבות	D-057	העדפה להסכמות רחבות ולאיטיות על פני מהלכים חדים ומהירים	supports	profile_text	80	הפרופיל מדגיש עבודה מעשית, ממלכתית ותפעולית יותר ממהלכים חדים ותיאטרליים.
ענבר בזק	דעות	סגנון פשרה, גבולות ויכולת הסכמה	הגנה על הדמוקרטיה, שלטון החוק וקווים אדומים	D-058	העדפה למאבק חד וברור כאשר פשרה נתפסת ככניעה לכוחות אנטי־דמוקרטיים	mixed	profile_text	60	היא מזוהה עם המחנה הדמוקרטי־ליברלי, אך אינה מתוארת כמובילת מאבק חד מול כוחות אנטי־דמוקרטיים.
ענבר בזק	דעות	סגנון פשרה, גבולות ויכולת הסכמה	הגנה על הדמוקרטיה, שלטון החוק וקווים אדומים	D-059	יכולת להבחין בין פשרה עניינית לבין טשטוש ערכי מסוכן	mixed	profile_text	66	הפרופיל מצביע על פרגמטיות וערכי דמוקרטיה, אך לא על ניסוח חד של גבולות פשרה.
ענבר בזק	דעות	סגנון פשרה, גבולות ויכולת הסכמה	גישור עם המחנה השני ובריתות רחבות	D-060	נכונות לבנות קואליציות עתידיות עם גורמים שאינם שייכים למחנה הטבעי, אם הם מקבלים כללי משחק דמוקרטיים	supports	profile_text	74	הרקע ביש עתיד, בכחול לבן ובדמוקרטים מצביע על יכולת לפעול עם גורמים מחוץ למחנה הטבעי הצר.
ענבר בזק	יכולות	מומחיות מדינית, ביטחונית וממשלית	מומחיות מדינית, ביטחונית וממשלית	cap_001	ניסיון ישיר במערכות מדינה בכירות או במוקדי קבלת החלטות	partial	profile_text	70	יש לה ניסיון כחברת כנסת ומנכ״לית חברה כלכלית אזורית, אך לא במוקדי קבלת החלטות מדינתיים בכירים.
ענבר בזק	יכולות	מומחיות מדינית, ביטחונית וממשלית	מומחיות מדינית, ביטחונית וממשלית	cap_002	הבנה מוכחת של סוגיות מדיניות, ביטחוניות ואזוריות מורכבות	partial	profile_text	60	הפרופיל מציין שהיא פחות נוכחת בשיח המדיני־ביטחוני, אך יש לה הבנה אזרחית־אזורית של מדיניות.
ענבר בזק	יכולות	מומחיות מדינית, ביטחונית וממשלית	מומחיות מדינית, ביטחונית וממשלית	cap_003	ניסיון במשא ומתן, דיאלוג אסטרטגי או קשרים בינלאומיים	unknown	profile_text	0	לא נמצאה בפרופיל ראיה לניסיון במשא ומתן, דיאלוג אסטרטגי או קשרים בינלאומיים.
ענבר בזק	יכולות	מומחיות מדינית, ביטחונית וממשלית	מומחיות מדינית, ביטחונית וממשלית	cap_004	ניסיון צבאי, מודיעיני או ביטחוני בעל רלוונטיות לעבודה ציבורית	unknown	profile_text	0	לא נמצאה בפרופיל ראיה לניסיון צבאי, מודיעיני או ביטחוני רלוונטי.
ענבר בזק	יכולות	מומחיות מדינית, ביטחונית וממשלית	מומחיות מדינית, ביטחונית וממשלית	cap_005	יכולת לגבש תפיסה מדינית־ביטחונית סדורה ולא רק עמדה ערכית כללית	none	profile_text	65	הפרופיל מציין במפורש שהיא פחות נוכחת בסוגיות ביטחון, חוץ או מדיניות מפורטת.
ענבר בזק	יכולות	מומחיות מדינית, ביטחונית וממשלית	מומחיות מדינית, ביטחונית וממשלית	cap_006	יכולת לחבר בין יעדים ביטחוניים לבין יעדים מדיניים ארוכי טווח	none	profile_text	65	הפרופיל אינו מציג יכולת לחבר בין יעדים ביטחוניים לבין יעדים מדיניים ארוכי טווח, ואף מדגיש שזה אינו תחום הבידול שלה.
ענבר בזק	יכולות	ארגון, ניהול וביצוע	ארגון, ניהול וביצוע	cap_007	ניסיון בהקמה וניהול של ארגונים, חברות, תנועות או מטות פעולה	has	profile_text	96	היא הקימה את 'עצמאים עושים שינוי' ושימשה מנכ״לית החברה הכלכלית של הגליל העליון.
ענבר בזק	יכולות	ארגון, ניהול וביצוע	ארגון, ניהול וביצוע	cap_008	יכולת להוביל צוותים, תקציבים, קהילות או מערכות מורכבות	has	profile_text	94	הפרופיל מציין ניסיון בניהול גופים אזוריים, חברות כלכליות ופיתוח כלכלי בפריפריה.
ענבר בזק	יכולות	ארגון, ניהול וביצוע	ארגון, ניהול וביצוע	cap_009	הובלת מאבקים ציבוריים שהניבו תוצאות ממשיות	has	profile_text	82	הקמת תנועת העצמאים הפכה את מצוקת העצמאים לנושא ציבורי־פוליטי מרכזי.
ענבר בזק	יכולות	ארגון, ניהול וביצוע	ארגון, ניהול וביצוע	cap_010	יכולת להפוך רעיון כללי לתשתית פעולה מתמשכת	has	profile_text	90	הפרופיל מתאר יכולת להפוך מצוקה של עצמאים לתנועה אזרחית ולתביעות מדיניות וחקיקתיות.
ענבר בזק	יכולות	ארגון, ניהול וביצוע	ארגון, ניהול וביצוע	cap_011	ניסיון בניהול משברים ציבוריים, פוליטיים או ארגוניים	partial	profile_text	70	היא עסקה ברשת ביטחון לעצמאים במצבי משבר כמו קורונה ומלחמה, אך לא מתואר ניהול משבר רחב.
ענבר בזק	יכולות	ארגון, ניהול וביצוע	ארגון, ניהול וביצוע	cap_012	מוכנות לקחת אחריות אישית גבוהה על מהלך ציבורי או ארגוני	has	profile_text	82	הקמת תנועה ציבורית והצטרפות לפוליטיקה מצביעות על נכונות לקחת אחריות ציבורית.
ענבר בזק	יכולות	חקיקה, פוליטיקה ומוסדות	חקיקה, פוליטיקה ומוסדות	cap_013	ניסיון בעבודה פרלמנטרית, ועדות כנסת, חקיקה או הצעות חוק	has	profile_text	78	היא כיהנה כחברת כנסת ועסקה בתיקוני מדיניות וחקיקה עבור עצמאים, עסקים קטנים וחקלאות.
ענבר בזק	יכולות	חקיקה, פוליטיקה ומוסדות	חקיקה, פוליטיקה ומוסדות	cap_014	היכרות מעשית עם מנגנוני מפלגות, פריימריז, רשימות וקואליציות	has	profile_text	76	היא שובצה ברשימות כחול לבן/יש עתיד, כיהנה בכנסת והצטרפה לדמוקרטים.
ענבר בזק	יכולות	חקיקה, פוליטיקה ומוסדות	חקיקה, פוליטיקה ומוסדות	cap_015	יכולת לפעול בתוך מוסדות קיימים ולא רק מחוץ להם	has	profile_text	86	הפרופיל מציג פעולה בתוך הכנסת, הרשויות המקומיות והחברה הכלכלית האזורית.
ענבר בזק	יכולות	חקיקה, פוליטיקה ומוסדות	חקיקה, פוליטיקה ומוסדות	cap_016	ניסיון בבניית תנועה פוליטית, מפלגה או אלטרנטיבה שלטונית	partial	profile_text	75	היא הקימה תנועה אזרחית של עצמאים, אך לא מפלגה או אלטרנטיבה שלטונית מלאה.
ענבר בזק	יכולות	חקיקה, פוליטיקה ומוסדות	חקיקה, פוליטיקה ומוסדות	cap_017	יכולת לייצר שיתופי פעולה בין זרמים, מפלגות או קבוצות אינטרס	has	profile_text	86	הפרופיל מדגיש עבודה בממשק בין מדיניות ציבורית, מגזר עסקי ורשויות מקומיות.
