redline_id,axis,topic_code,topic,redline_title,condition_text,failure_text,ui_question,default_user_severity,severity_0_label,severity_1_label,severity_2_label,severity_3_label,decision_mode,notes
D03-R01,deot,D03,"חרדים, גיוס ושוויון חובות",גיוס ושוויון חובות,"המועמד תומך בעיקרון של גיוס ושוויון חובות לכלל אזרחי המדינה, כולל הציבור החרדי.","המועמד אינו תומך בעיקרון של גיוס ושוויון חובות לכלל אזרחי המדינה, כולל הציבור החרדי.",עד כמה חמור מבחינתך אם מועמד אינו עומד בתנאי הזה?,0,ללא סימון,אזהרה / הורדת דירוג קלה,כרטיס צהוב / הורדת דירוג משמעותית,כרטיס אדום / פסילה מבחירה רגילה,clustered_statements,
D03-R02,deot,D03,"חרדים, גיוס ושוויון חובות","תקצוב, ליבה ושילוב","המועמד מתנגד להמשך תקצוב ציבורי נרחב בלי דרישה ללימודי ליבה, תעסוקה ושילוב אזרחי.","המועמד מוכן להמשיך תקצוב ציבורי נרחב בלי דרישה ללימודי ליבה, תעסוקה ושילוב אזרחי.",עד כמה חמור מבחינתך אם מועמד אינו עומד בתנאי הזה?,0,ללא סימון,אזהרה / הורדת דירוג קלה,כרטיס צהוב / הורדת דירוג משמעותית,כרטיס אדום / פסילה מבחירה רגילה,clustered_statements,
D03-R03,deot,D03,"חרדים, גיוס ושוויון חובות",הבחנה בין ציבור לעסקנות,המועמד מבחין בין הציבור החרדי עצמו לבין העסקנות הפוליטית החרדית.,המועמד אינו מבחין בין הציבור החרדי עצמו לבין העסקנות הפוליטית החרדית.,עד כמה חמור מבחינתך אם מועמד אינו עומד בתנאי הזה?,0,ללא סימון,אזהרה / הורדת דירוג קלה,כרטיס צהוב / הורדת דירוג משמעותית,כרטיס אדום / פסילה מבחירה רגילה,clustered_statements,
D03-R04,deot,D03,"חרדים, גיוס ושוויון חובות",התנגדות לכפייה דתית,המועמד מתמודד עם הפגיעה בחופש האזרחי הנגרמת מכפייה דתית במרחב הציבורי.,המועמד מתעלם מהפגיעה בחופש האזרחי הנגרמת מכפייה דתית במרחב הציבורי.,עד כמה חמור מבחינתך אם מועמד אינו עומד בתנאי הזה?,0,ללא סימון,אזהרה / הורדת דירוג קלה,כרטיס צהוב / הורדת דירוג משמעותית,כרטיס אדום / פסילה מבחירה רגילה,clustered_statements,
D03-R05,deot,D03,"חרדים, גיוס ושוויון חובות",שוויון חובות עם אופק שילוב,"המועמד משלב דרישה לשוויון חובות עם אופק של שילוב, הסכמות וחיים משותפים עם החברה החרדית.","המועמד מציע רק עימות עם החברה החרדית בלי אופק של שילוב, הסכמות וחיים משותפים.",עד כמה חמור מבחינתך אם מועמד אינו עומד בתנאי הזה?,0,ללא סימון,אזהרה / הורדת דירוג קלה,כרטיס צהוב / הורדת דירוג משמעותית,כרטיס אדום / פסילה מבחירה רגילה,clustered_statements,
D04-R01,deot,D04,שוויון ושותפות יהודית־ערבית,שוויון אזרחי מלא,המועמד תומך בשוויון אזרחי מלא לאזרחים הערבים בישראל.,המועמד אינו תומך בשוויון אזרחי מלא לאזרחים הערבים בישראל.,עד כמה חמור מבחינתך אם מועמד אינו עומד בתנאי הזה?,0,ללא סימון,אזהרה / הורדת דירוג קלה,כרטיס צהוב / הורדת דירוג משמעותית,כרטיס אדום / פסילה מבחירה רגילה,clustered_statements,
D04-R02,deot,D04,שוויון ושותפות יהודית־ערבית,שותפות פוליטית לגיטימית,המועמד רואה בשותפות יהודית־ערבית אפשרות פוליטית לגיטימית.,המועמד אינו רואה בשותפות יהודית־ערבית אפשרות פוליטית לגיטימית.,עד כמה חמור מבחינתך אם מועמד אינו עומד בתנאי הזה?,0,ללא סימון,אזהרה / הורדת דירוג קלה,כרטיס צהוב / הורדת דירוג משמעותית,כרטיס אדום / פסילה מבחירה רגילה,clustered_statements,
D04-R03,deot,D04,שוויון ושותפות יהודית־ערבית,פערי תקציבים ותשתיות,"המועמד מתייחס לפערי תקציבים, תכנון, תשתיות וביטחון אישי בחברה הערבית.","המועמד מתעלם מפערי תקציבים, תכנון, תשתיות וביטחון אישי בחברה הערבית.",עד כמה חמור מבחינתך אם מועמד אינו עומד בתנאי הזה?,0,ללא סימון,אזהרה / הורדת דירוג קלה,כרטיס צהוב / הורדת דירוג משמעותית,כרטיס אדום / פסילה מבחירה רגילה,clustered_statements,
D04-R04,deot,D04,שוויון ושותפות יהודית־ערבית,החברה הערבית כשותפה אזרחית,"המועמד מדבר על החברה הערבית כשותפה אזרחית ופוליטית, ולא רק כבעיה ביטחונית.",המועמד מוכן לדבר על החברה הערבית רק כבעיה ביטחונית ולא כשותפה אזרחית ופוליטית.,עד כמה חמור מבחינתך אם מועמד אינו עומד בתנאי הזה?,0,ללא סימון,אזהרה / הורדת דירוג קלה,כרטיס צהוב / הורדת דירוג משמעותית,כרטיס אדום / פסילה מבחירה רגילה,clustered_statements,
D04-R05,deot,D04,שוויון ושותפות יהודית־ערבית,התמודדות עם חוסר אמון,המועמד מוכן להתמודד עם חוסר האמון והרתיעה ההדדית בין יהודים לערבים כחלק מבניית עתיד משותף.,המועמד אינו מוכן להתמודד עם חוסר האמון והרתיעה ההדדית בין יהודים לערבים כחלק מבניית עתיד משותף.,עד כמה חמור מבחינתך אם מועמד אינו עומד בתנאי הזה?,0,ללא סימון,אזהרה / הורדת דירוג קלה,כרטיס צהוב / הורדת דירוג משמעותית,כרטיס אדום / פסילה מבחירה רגילה,clustered_statements,
D05-R01,deot,D05,"ביטחון, פלסטינים ועתיד השטחים",אופק מדיני ברור,המועמד מציג אופק מדיני ברור ביחס לפלסטינים ולעתיד השטחים.,המועמד אינו מציג אופק מדיני ברור ביחס לפלסטינים ולעתיד השטחים.,עד כמה חמור מבחינתך אם מועמד אינו עומד בתנאי הזה?,0,ללא סימון,אזהרה / הורדת דירוג קלה,כרטיס צהוב / הורדת דירוג משמעותית,כרטיס אדום / פסילה מבחירה רגילה,clustered_statements,
D05-R02,deot,D05,"ביטחון, פלסטינים ועתיד השטחים",התנגדות לסיפוח ושליטה קבועה,המועמד מתנגד לסיפוח או להעמקת שליטה קבועה בפלסטינים בלי זכויות מלאות.,המועמד תומך בסיפוח או בהעמקת שליטה קבועה בפלסטינים בלי זכויות מלאות.,עד כמה חמור מבחינתך אם מועמד אינו עומד בתנאי הזה?,0,ללא סימון,אזהרה / הורדת דירוג קלה,כרטיס צהוב / הורדת דירוג משמעותית,כרטיס אדום / פסילה מבחירה רגילה,clustered_statements,
D05-R03,deot,D05,"ביטחון, פלסטינים ועתיד השטחים",ביטחון לצד מחיר דמוקרטי ומוסרי,"המועמד מדבר על ביטחון תוך הכרה במחיר המדיני, הדמוקרטי והמוסרי של המשך השליטה בשטחים.","המועמד מדבר על ביטחון בלי להכיר במחיר המדיני, הדמוקרטי והמוסרי של המשך השליטה בשטחים.",עד כמה חמור מבחינתך אם מועמד אינו עומד בתנאי הזה?,0,ללא סימון,אזהרה / הורדת דירוג קלה,כרטיס צהוב / הורדת דירוג משמעותית,כרטיס אדום / פסילה מבחירה רגילה,clustered_statements,
D05-R04,deot,D05,"ביטחון, פלסטינים ועתיד השטחים",פתיחות להסדר או היפרדות,"המועמד אינו שולל מראש כל אפשרות של שתי מדינות, היפרדות או הסדר מדיני אחר.","המועמד מתנגד מראש לכל אפשרות של שתי מדינות, היפרדות או הסדר מדיני אחר.",עד כמה חמור מבחינתך אם מועמד אינו עומד בתנאי הזה?,0,ללא סימון,אזהרה / הורדת דירוג קלה,כרטיס צהוב / הורדת דירוג משמעותית,כרטיס אדום / פסילה מבחירה רגילה,clustered_statements,
D05-R05,deot,D05,"ביטחון, פלסטינים ועתיד השטחים",עמדה על עתיד עזה,"המועמד מציג עמדה ברורה על עתיד עזה, שלטון אזרחי, ביטחון ואחריות ישראלית לאחר המלחמה.","למועמד אין עמדה ברורה על עתיד עזה, שלטון אזרחי, ביטחון ואחריות ישראלית לאחר המלחמה.",עד כמה חמור מבחינתך אם מועמד אינו עומד בתנאי הזה?,0,ללא סימון,אזהרה / הורדת דירוג קלה,כרטיס צהוב / הורדת דירוג משמעותית,כרטיס אדום / פסילה מבחירה רגילה,clustered_statements,
D06-R01,deot,D06,"חברה, רווחה ופריפריה",צמצום פערים כמשימה מרכזית,המועמד רואה בצמצום פערים חברתיים־כלכליים משימה מרכזית של המדינה.,המועמד אינו רואה בצמצום פערים חברתיים־כלכליים משימה מרכזית של המדינה.,עד כמה חמור מבחינתך אם מועמד אינו עומד בתנאי הזה?,0,ללא סימון,אזהרה / הורדת דירוג קלה,כרטיס צהוב / הורדת דירוג משמעותית,כרטיס אדום / פסילה מבחירה רגילה,clustered_statements,
D06-R02,deot,D06,"חברה, רווחה ופריפריה",יוקר מחיה ודיור,"המועמד מתייחס ליוקר המחיה, משבר הדיור והשחיקה של מעמד הביניים.","המועמד מתעלם מיוקר המחיה, משבר הדיור והשחיקה של מעמד הביניים.",עד כמה חמור מבחינתך אם מועמד אינו עומד בתנאי הזה?,0,ללא סימון,אזהרה / הורדת דירוג קלה,כרטיס צהוב / הורדת דירוג משמעותית,כרטיס אדום / פסילה מבחירה רגילה,clustered_statements,
D06-R03,deot,D06,"חברה, רווחה ופריפריה",שירותים ציבוריים ובריאות,"המועמד מחויב לחיזוק שירותים ציבוריים, במיוחד בריאות, רווחה ושירותים בקהילה.","המועמד אינו מחויב לחיזוק שירותים ציבוריים, במיוחד בריאות, רווחה ושירותים בקהילה.",עד כמה חמור מבחינתך אם מועמד אינו עומד בתנאי הזה?,0,ללא סימון,אזהרה / הורדת דירוג קלה,כרטיס צהוב / הורדת דירוג משמעותית,כרטיס אדום / פסילה מבחירה רגילה,clustered_statements,
D06-R04,deot,D06,"חברה, רווחה ופריפריה",פריפריה גיאוגרפית וחברתית,המועמד מתייחס לפריפריה הגיאוגרפית והחברתית כחלק מרכזי מתיקון המדינה.,המועמד אינו מתייחס לפריפריה הגיאוגרפית והחברתית כחלק מרכזי מתיקון המדינה.,עד כמה חמור מבחינתך אם מועמד אינו עומד בתנאי הזה?,0,ללא סימון,אזהרה / הורדת דירוג קלה,כרטיס צהוב / הורדת דירוג משמעותית,כרטיס אדום / פסילה מבחירה רגילה,clustered_statements,
D06-R05,deot,D06,"חברה, רווחה ופריפריה",צדק חברתי עם סדר עדיפויות תקציבי,המועמד מדבר על צדק חברתי עם סדר עדיפויות תקציבי ברור.,"המועמד מדבר על צדק חברתי כסיסמה בלבד, בלי סדר עדיפויות תקציבי ברור.",עד כמה חמור מבחינתך אם מועמד אינו עומד בתנאי הזה?,0,ללא סימון,אזהרה / הורדת דירוג קלה,כרטיס צהוב / הורדת דירוג משמעותית,כרטיס אדום / פסילה מבחירה רגילה,clustered_statements,
D07-R01,deot,D07,בין פטריוטיות לאוניברסליות,ישראל וזכויות אדם,המועמד מסוגל לשלב מחויבות עמוקה לישראל עם מחויבות לזכויות אדם ולמוסר אוניברסלי.,המועמד אינו מסוגל לשלב מחויבות עמוקה לישראל עם מחויבות לזכויות אדם ולמוסר אוניברסלי.,עד כמה חמור מבחינתך אם מועמד אינו עומד בתנאי הזה?,0,ללא סימון,אזהרה / הורדת דירוג קלה,כרטיס צהוב / הורדת דירוג משמעותית,כרטיס אדום / פסילה מבחירה רגילה,clustered_statements,
D07-R02,deot,D07,בין פטריוטיות לאוניברסליות,ביקורת מוסרית אינה בגידה,המועמד אינו רואה כל ביקורת מוסרית על ישראל כבגידה או כאנטי־ישראליות.,המועמד רואה כל ביקורת מוסרית על ישראל כבגידה או כאנטי־ישראליות.,עד כמה חמור מבחינתך אם מועמד אינו עומד בתנאי הזה?,0,ללא סימון,אזהרה / הורדת דירוג קלה,כרטיס צהוב / הורדת דירוג משמעותית,כרטיס אדום / פסילה מבחירה רגילה,clustered_statements,
D07-R03,deot,D07,בין פטריוטיות לאוניברסליות,רגישות לסבל לא ישראלי,המועמד מכיר בסבל של אזרחים שאינם ישראלים גם בזמן מלחמה.,המועמד מתעלם מסבל של אזרחים שאינם ישראלים גם בזמן מלחמה.,עד כמה חמור מבחינתך אם מועמד אינו עומד בתנאי הזה?,0,ללא סימון,אזהרה / הורדת דירוג קלה,כרטיס צהוב / הורדת דירוג משמעותית,כרטיס אדום / פסילה מבחירה רגילה,clustered_statements,
D07-R04,deot,D07,בין פטריוטיות לאוניברסליות,פטריוטיות כדרישה מוסרית,המועמד מכיר בכך שפטריוטיות אמיתית כוללת גם דרישה מוסרית מהמדינה.,המועמד אינו מכיר בכך שפטריוטיות אמיתית כוללת גם דרישה מוסרית מהמדינה.,עד כמה חמור מבחינתך אם מועמד אינו עומד בתנאי הזה?,0,ללא סימון,אזהרה / הורדת דירוג קלה,כרטיס צהוב / הורדת דירוג משמעותית,כרטיס אדום / פסילה מבחירה רגילה,clustered_statements,
D07-R05,deot,D07,בין פטריוטיות לאוניברסליות,גבולות מוסריים ודיני מלחמה,"המועמד מחויב לדיני מלחמה, משפט בינלאומי וגבולות מוסריים גם בשם ניצחון צבאי.","המועמד מוכן לוותר על דיני מלחמה, משפט בינלאומי או גבולות מוסריים בשם ניצחון צבאי.",עד כמה חמור מבחינתך אם מועמד אינו עומד בתנאי הזה?,0,ללא סימון,אזהרה / הורדת דירוג קלה,כרטיס צהוב / הורדת דירוג משמעותית,כרטיס אדום / פסילה מבחירה רגילה,clustered_statements,
D08-R01,deot,D08,"חינוך, תרבות וספורט כחוסן אזרחי",חינוך ציבורי כמשימה מרכזית,המועמד רואה בחיזוק החינוך הציבורי משימה מרכזית של המדינה.,המועמד אינו רואה בחיזוק החינוך הציבורי משימה מרכזית של המדינה.,עד כמה חמור מבחינתך אם מועמד אינו עומד בתנאי הזה?,0,ללא סימון,אזהרה / הורדת דירוג קלה,כרטיס צהוב / הורדת דירוג משמעותית,כרטיס אדום / פסילה מבחירה רגילה,clustered_statements,
D08-R02,deot,D08,"חינוך, תרבות וספורט כחוסן אזרחי",צמצום פערים בחינוך,המועמד מחויב לצמצום פערים בחינוך בין מרכז לפריפריה ובין קבוצות חברתיות.,המועמד אינו מחויב לצמצום פערים בחינוך בין מרכז לפריפריה ובין קבוצות חברתיות.,עד כמה חמור מבחינתך אם מועמד אינו עומד בתנאי הזה?,0,ללא סימון,אזהרה / הורדת דירוג קלה,כרטיס צהוב / הורדת דירוג משמעותית,כרטיס אדום / פסילה מבחירה רגילה,clustered_statements,
D08-R03,deot,D08,"חינוך, תרבות וספורט כחוסן אזרחי",חינוך דמוקרטי ואוריינות לעולם החדש,"המועמד תומך בחינוך דמוקרטי, אזרחות פעילה, חשיבה ביקורתית ואוריינות לעולם החדש.","המועמד אינו תומך בחינוך דמוקרטי, אזרחות פעילה, חשיבה ביקורתית ואוריינות לעולם החדש.",עד כמה חמור מבחינתך אם מועמד אינו עומד בתנאי הזה?,0,ללא סימון,אזהרה / הורדת דירוג קלה,כרטיס צהוב / הורדת דירוג משמעותית,כרטיס אדום / פסילה מבחירה רגילה,clustered_statements,
D08-R04,deot,D08,"חינוך, תרבות וספורט כחוסן אזרחי",אי־התערבות פוליטית בתרבות וחינוך,"המועמד מתנגד להתערבות פוליטית בתכני תרבות, יצירה או חינוך.","המועמד תומך בהתערבות פוליטית בתכני תרבות, יצירה או חינוך.",עד כמה חמור מבחינתך אם מועמד אינו עומד בתנאי הזה?,0,ללא סימון,אזהרה / הורדת דירוג קלה,כרטיס צהוב / הורדת דירוג משמעותית,כרטיס אדום / פסילה מבחירה רגילה,clustered_statements,
D08-R05,deot,D08,"חינוך, תרבות וספורט כחוסן אזרחי",תרבות וספורט כחוסן אזרחי,"המועמד רואה בתרבות, ספורט, נוער וחינוך בלתי פורמלי חלק מחוסן אזרחי.","המועמד מתייחס לתרבות, ספורט, נוער וחינוך בלתי פורמלי כתחומים שוליים.",עד כמה חמור מבחינתך אם מועמד אינו עומד בתנאי הזה?,0,ללא סימון,אזהרה / הורדת דירוג קלה,כרטיס צהוב / הורדת דירוג משמעותית,כרטיס אדום / פסילה מבחירה רגילה,clustered_statements,
D09-R01,deot,D09,"סביבה, אקלים ומרחב חיים",אקלים כמדיניות ממשית,המועמד מתייחס למשבר האקלים כאתגר מדיניות ממשי.,המועמד מתייחס למשבר האקלים כנושא שולי או קישוטי בלבד.,עד כמה חמור מבחינתך אם מועמד אינו עומד בתנאי הזה?,0,ללא סימון,אזהרה / הורדת דירוג קלה,כרטיס צהוב / הורדת דירוג משמעותית,כרטיס אדום / פסילה מבחירה רגילה,clustered_statements,
D09-R02,deot,D09,"סביבה, אקלים ומרחב חיים",תחבורה ציבורית ותכנון,המועמד תומך בתחבורה ציבורית חזקה ובתכנון שמפחית תלות ברכב פרטי.,המועמד אינו תומך בתחבורה ציבורית חזקה ובתכנון שמפחית תלות ברכב פרטי.,עד כמה חמור מבחינתך אם מועמד אינו עומד בתנאי הזה?,0,ללא סימון,אזהרה / הורדת דירוג קלה,כרטיס צהוב / הורדת דירוג משמעותית,כרטיס אדום / פסילה מבחירה רגילה,clustered_statements,
D09-R03,deot,D09,"סביבה, אקלים ומרחב חיים","זיהום, בריאות ופערים","המועמד מזהה את הקשר בין זיהום, בריאות ופערים חברתיים.","המועמד מתעלם מהקשר בין זיהום, בריאות ופערים חברתיים.",עד כמה חמור מבחינתך אם מועמד אינו עומד בתנאי הזה?,0,ללא סימון,אזהרה / הורדת דירוג קלה,כרטיס צהוב / הורדת דירוג משמעותית,כרטיס אדום / פסילה מבחירה רגילה,clustered_statements,
D09-R04,deot,D09,"סביבה, אקלים ומרחב חיים",שטחים פתוחים ומרחב חיים,המועמד רואה בשמירה על שטחים פתוחים ומרחב חיים אחריות ציבורית.,המועמד אינו רואה בשמירה על שטחים פתוחים ומרחב חיים אחריות ציבורית.,עד כמה חמור מבחינתך אם מועמד אינו עומד בתנאי הזה?,0,ללא סימון,אזהרה / הורדת דירוג קלה,כרטיס צהוב / הורדת דירוג משמעותית,כרטיס אדום / פסילה מבחירה רגילה,clustered_statements,
D09-R05,deot,D09,"סביבה, אקלים ומרחב חיים",סביבה כמדיניות חברתית,"המועמד מבין שסביבה, תכנון, בריאות ואיכות חיים הם חלק ממדיניות חברתית ולא רק עניין ירוק.","המועמד אינו מבין שסביבה, תכנון, בריאות ואיכות חיים הם חלק ממדיניות חברתית ולא רק עניין ירוק.",עד כמה חמור מבחינתך אם מועמד אינו עומד בתנאי הזה?,0,ללא סימון,אזהרה / הורדת דירוג קלה,כרטיס צהוב / הורדת דירוג משמעותית,כרטיס אדום / פסילה מבחירה רגילה,clustered_statements,
