"candidate_id","axis","category","statement_id","statement_text","value","source","confidence","justification"
"לי הופמן אגיב","דעות","יחס למחנה השני ויכולת גישור","D-011","נכונות לשיח עם דתיים, מסורתיים, חרדים וימנים גם כאשר קיימת מחלוקת ערכית עמוקה","mixed","https://hagush.org.il/candidates.html ; https://www.leehoffmannagiv.com/ ; https://www.ynet.co.il/news/article/rjakywcvzl ; https://www.bonot.org/events/pgyst-mwbylwt-sth-hwdsyt-bwnwt-ltrntybh-pbrwr ; https://www.ynet.co.il/news/article/r1tpwbrp2 ; https://www.israelhayom.co.il/magazine/special/article/17474694","58","המקורות מדגישים מאבק דמוקרטי ושוויון, אך אינם מספקים עמדה מפורטת על לגיטימציה וגשר למחנה השני."
"לי הופמן אגיב","דעות","יחס למחנה השני ויכולת גישור","D-012","ראיית חלק מהמחנה השני כשותף עתידי אפשרי לשיקום המדינה לאחר עידן נתניהו","mixed","https://hagush.org.il/candidates.html ; https://www.leehoffmannagiv.com/ ; https://www.ynet.co.il/news/article/rjakywcvzl ; https://www.bonot.org/events/pgyst-mwbylwt-sth-hwdsyt-bwnwt-ltrntybh-pbrwr ; https://www.ynet.co.il/news/article/r1tpwbrp2 ; https://www.israelhayom.co.il/magazine/special/article/17474694","58","המקורות מדגישים מאבק דמוקרטי ושוויון, אך אינם מספקים עמדה מפורטת על לגיטימציה וגשר למחנה השני."
"לי הופמן אגיב","דעות","שסעים פנימיים בחברה היהודית","D-013","ראיית השסע העדתי והפריפריאלי כמרכיב מרכזי במשבר הפוליטי בישראל","unknown","לא נמצא מקור מספק בקובץ ההיגדים/פרופיל/מקורות הרשת שנבדקו; נשאר unknown לפי כלל לא לנחש","0","לא נמצא בסיס ישיר ומספיק במקורות שנבדקו לקביעה על היגד זה בלי ניחוש."
"לי הופמן אגיב","דעות","שסעים פנימיים בחברה היהודית","D-014","נכונות לדבר עם מצביעים מזרחים, מסורתיים ופריפריאליים בשפה שאינה מתנשאת ואינה רק ליברלית־אשכנזית","unknown","לא נמצא מקור מספק בקובץ ההיגדים/פרופיל/מקורות הרשת שנבדקו; נשאר unknown לפי כלל לא לנחש","0","לא נמצא בסיס ישיר ומספיק במקורות שנבדקו לקביעה על היגד זה בלי ניחוש."
"לי הופמן אגיב","דעות","שסעים פנימיים בחברה היהודית","D-015","ראיית השסע הדתי־חילוני כאיום מרכזי על הלכידות של החברה היהודית בישראל","unknown","לא נמצא מקור מספק בקובץ ההיגדים/פרופיל/מקורות הרשת שנבדקו; נשאר unknown לפי כלל לא לנחש","0","לא נמצא בסיס ישיר ומספיק במקורות שנבדקו לקביעה על היגד זה בלי ניחוש."
"לי הופמן אגיב","דעות","שסעים פנימיים בחברה היהודית","D-016","תמיכה בבניית ברית חדשה בין ליברלים, מסורתיים, דתיים מתונים ופריפריה חברתית","mixed","https://hagush.org.il/candidates.html ; https://www.leehoffmannagiv.com/ ; https://www.ynet.co.il/news/article/rjakywcvzl ; https://www.bonot.org/events/pgyst-mwbylwt-sth-hwdsyt-bwnwt-ltrntybh-pbrwr ; https://www.ynet.co.il/news/article/r1tpwbrp2 ; https://www.israelhayom.co.il/magazine/special/article/17474694","56","המעבר ממחאה לפוליטיקה והעיסוק בשוויון מאפשרים בסיס חלקי לגישור, אך לא נמצאה תוכנית מפורשת לאיחוי בין מחנות."
"לי הופמן אגיב","דעות","שסעים פנימיים בחברה היהודית","D-017","ביקורת על מחנה המרכז־שמאל כאשר הוא נתפס כמנותק, אליטיסטי או חסר רגישות לפריפריה","unknown","לא נמצא מקור מספק בקובץ ההיגדים/פרופיל/מקורות הרשת שנבדקו; נשאר unknown לפי כלל לא לנחש","0","לא נמצא בסיס ישיר ומספיק במקורות שנבדקו לקביעה על היגד זה בלי ניחוש."
"לי הופמן אגיב","דעות","שסעים פנימיים בחברה היהודית","D-018","העדפה לתיקון יחסי מרכז־פריפריה כחלק מבניית מחנה דמוקרטי רחב","unknown","לא נמצא מקור מספק בקובץ ההיגדים/פרופיל/מקורות הרשת שנבדקו; נשאר unknown לפי כלל לא לנחש","0","לא נמצא בסיס ישיר ומספיק במקורות שנבדקו לקביעה על היגד זה בלי ניחוש."
"לי הופמן אגיב","דעות","מדינה יהודית ודמוקרטית, דת ומדינה","D-019","העדפה לזהות ישראלית שבה הרכיב הדמוקרטי קודם לרכיב הדתי־לאומי כאשר יש התנגשות ביניהם","supports","https://hagush.org.il/candidates.html ; https://www.leehoffmannagiv.com/ ; https://www.ynet.co.il/news/article/rjakywcvzl ; https://www.bonot.org/events/pgyst-mwbylwt-sth-hwdsyt-bwnwt-ltrntybh-pbrwr ; https://www.ynet.co.il/news/article/r1tpwbrp2 ; https://www.israelhayom.co.il/magazine/special/article/17474694","78","במקורות על פעילותה בבונות אלטרנטיבה ובבני ברק מופיעות דרישות לשוויון זכויות, שוויון חובות, התנגדות להדרת נשים וכפייה דתית."
"לי הופמן אגיב","דעות","מדינה יהודית ודמוקרטית, דת ומדינה","D-020","העדפה לזהות ישראלית שבה היהדות היא מקור תרבותי וערכי, אך אינה צריכה לשלוט במוסדות המדינה","supports","https://hagush.org.il/candidates.html ; https://www.leehoffmannagiv.com/ ; https://www.ynet.co.il/news/article/rjakywcvzl ; https://www.bonot.org/events/pgyst-mwbylwt-sth-hwdsyt-bwnwt-ltrntybh-pbrwr ; https://www.ynet.co.il/news/article/r1tpwbrp2 ; https://www.israelhayom.co.il/magazine/special/article/17474694","78","במקורות על פעילותה בבונות אלטרנטיבה ובבני ברק מופיעות דרישות לשוויון זכויות, שוויון חובות, התנגדות להדרת נשים וכפייה דתית."
"לי הופמן אגיב","דעות","מדינה יהודית ודמוקרטית, דת ומדינה","D-021","תמיכה בהפרדה ברורה יותר בין סמכות דתית לבין סמכות מדינתית","supports","https://hagush.org.il/candidates.html ; https://www.leehoffmannagiv.com/ ; https://www.ynet.co.il/news/article/rjakywcvzl ; https://www.bonot.org/events/pgyst-mwbylwt-sth-hwdsyt-bwnwt-ltrntybh-pbrwr ; https://www.ynet.co.il/news/article/r1tpwbrp2 ; https://www.israelhayom.co.il/magazine/special/article/17474694","78","במקורות על פעילותה בבונות אלטרנטיבה ובבני ברק מופיעות דרישות לשוויון זכויות, שוויון חובות, התנגדות להדרת נשים וכפייה דתית."
"לי הופמן אגיב","דעות","מדינה יהודית ודמוקרטית, דת ומדינה","D-022","נכונות לשמר מרכיבים יהודיים־מסורתיים במרחב הציבורי כדי לאפשר שותפות עם ציבור מסורתי ודתי","mixed","https://hagush.org.il/candidates.html ; https://www.leehoffmannagiv.com/ ; https://www.ynet.co.il/news/article/rjakywcvzl ; https://www.bonot.org/events/pgyst-mwbylwt-sth-hwdsyt-bwnwt-ltrntybh-pbrwr ; https://www.ynet.co.il/news/article/r1tpwbrp2 ; https://www.israelhayom.co.il/magazine/special/article/17474694","52","יש עמדה ברורה נגד כפייה והדרה, אך אין די מידע על שימור מרכיבים מסורתיים במרחב הציבורי לצורכי שותפות."
"לי הופמן אגיב","דעות","מדינה יהודית ודמוקרטית, דת ומדינה","D-023","התנגדות לכפייה דתית בנושאי נישואין, שבת, חינוך, מעמד אישי או שירות ציבורי","supports","https://hagush.org.il/candidates.html ; https://www.leehoffmannagiv.com/ ; https://www.ynet.co.il/news/article/rjakywcvzl ; https://www.bonot.org/events/pgyst-mwbylwt-sth-hwdsyt-bwnwt-ltrntybh-pbrwr ; https://www.ynet.co.il/news/article/r1tpwbrp2 ; https://www.israelhayom.co.il/magazine/special/article/17474694","78","במקורות על פעילותה בבונות אלטרנטיבה ובבני ברק מופיעות דרישות לשוויון זכויות, שוויון חובות, התנגדות להדרת נשים וכפייה דתית."
"לי הופמן אגיב","דעות","מדינה יהודית ודמוקרטית, דת ומדינה","D-024","תמיכה בשוויון חובות אזרחיות בין קבוצות, כולל שאלת גיוס חרדים או שירות אזרחי","supports","https://hagush.org.il/candidates.html ; https://www.leehoffmannagiv.com/ ; https://www.ynet.co.il/news/article/rjakywcvzl ; https://www.bonot.org/events/pgyst-mwbylwt-sth-hwdsyt-bwnwt-ltrntybh-pbrwr ; https://www.ynet.co.il/news/article/r1tpwbrp2 ; https://www.israelhayom.co.il/magazine/special/article/17474694","78","במקורות על פעילותה בבונות אלטרנטיבה ובבני ברק מופיעות דרישות לשוויון זכויות, שוויון חובות, התנגדות להדרת נשים וכפייה דתית."
"לי הופמן אגיב","דעות","הפרדה, גישור או שתי מדינות לעם היהודי","D-025","אמונה שהפער בין ישראל ליברלית לבין ישראל שמרנית־דתית עדיין ניתן לגישור פוליטי וחברתי","mixed","https://hagush.org.il/candidates.html ; https://www.leehoffmannagiv.com/ ; https://www.ynet.co.il/news/article/rjakywcvzl ; https://www.bonot.org/events/pgyst-mwbylwt-sth-hwdsyt-bwnwt-ltrntybh-pbrwr ; https://www.ynet.co.il/news/article/r1tpwbrp2 ; https://www.israelhayom.co.il/magazine/special/article/17474694","56","המעבר ממחאה לפוליטיקה והעיסוק בשוויון מאפשרים בסיס חלקי לגישור, אך לא נמצאה תוכנית מפורשת לאיחוי בין מחנות."
"לי הופמן אגיב","דעות","הפרדה, גישור או שתי מדינות לעם היהודי","D-026","ראיית הפער בין המחנות כעמוק עד כדי צורך בהסדרים של אוטונומיה, ביזור או הפרדה חלקית","unknown","לא נמצא מקור מספק בקובץ ההיגדים/פרופיל/מקורות הרשת שנבדקו; נשאר unknown לפי כלל לא לנחש","0","לא נמצא בסיס ישיר ומספיק במקורות שנבדקו לקביעה על היגד זה בלי ניחוש."
"לי הופמן אגיב","דעות","הפרדה, גישור או שתי מדינות לעם היהודי","D-027","תמיכה בביזור סמכויות לשלטון מקומי כדי לאפשר לקהילות שונות לחיות לפי אורחות חיים שונים","unknown","לא נמצא מקור מספק בקובץ ההיגדים/פרופיל/מקורות הרשת שנבדקו; נשאר unknown לפי כלל לא לנחש","0","לא נמצא בסיס ישיר ומספיק במקורות שנבדקו לקביעה על היגד זה בלי ניחוש."
"לי הופמן אגיב","דעות","הפרדה, גישור או שתי מדינות לעם היהודי","D-028","התנגדות לרעיון של שתי מדינות לעם היהודי והעדפה למאבק על מסגרת מדינתית אחת משותפת","unknown","לא נמצא מקור מספק בקובץ ההיגדים/פרופיל/מקורות הרשת שנבדקו; נשאר unknown לפי כלל לא לנחש","0","לא נמצא בסיס עובדתי מספיק בפרופיל ובמקורות שנבדקו כדי לקבוע את ההיגד בלי ניחוש."
"לי הופמן אגיב","דעות","הפרדה, גישור או שתי מדינות לעם היהודי","D-029","פתיחות לרעיון של הסדרים פנימיים חדשים בין חילונים, דתיים, חרדים, מסורתיים וליברלים","mixed","https://hagush.org.il/candidates.html ; https://www.leehoffmannagiv.com/ ; https://www.ynet.co.il/news/article/rjakywcvzl ; https://www.bonot.org/events/pgyst-mwbylwt-sth-hwdsyt-bwnwt-ltrntybh-pbrwr ; https://www.ynet.co.il/news/article/r1tpwbrp2 ; https://www.israelhayom.co.il/magazine/special/article/17474694","56","המעבר ממחאה לפוליטיקה והעיסוק בשוויון מאפשרים בסיס חלקי לגישור, אך לא נמצאה תוכנית מפורשת לאיחוי בין מחנות."
"לי הופמן אגיב","דעות","הפרדה, גישור או שתי מדינות לעם היהודי","D-030","ראיית המשבר הישראלי לא רק כמאבק ימין־שמאל אלא כמאבק בין מודלים שונים של חיים משותפים","mixed","https://hagush.org.il/candidates.html ; https://www.leehoffmannagiv.com/ ; https://www.ynet.co.il/news/article/rjakywcvzl ; https://www.bonot.org/events/pgyst-mwbylwt-sth-hwdsyt-bwnwt-ltrntybh-pbrwr ; https://www.ynet.co.il/news/article/r1tpwbrp2 ; https://www.israelhayom.co.il/magazine/special/article/17474694","56","המעבר ממחאה לפוליטיקה והעיסוק בשוויון מאפשרים בסיס חלקי לגישור, אך לא נמצאה תוכנית מפורשת לאיחוי בין מחנות."
"לי הופמן אגיב","דעות","יהודים־ערבים, שוויון אזרחי וחיים משותפים","D-031","ראיית אזרחי ישראל הערבים כחלק מלא מהדיון על עתיד המדינה ולא כעניין נפרד או משני","mixed","https://hagush.org.il/candidates.html ; https://www.leehoffmannagiv.com/ ; https://www.ynet.co.il/news/article/rjakywcvzl ; https://www.bonot.org/events/pgyst-mwbylwt-sth-hwdsyt-bwnwt-ltrntybh-pbrwr ; https://www.ynet.co.il/news/article/r1tpwbrp2 ; https://www.israelhayom.co.il/magazine/special/article/17474694","55","המקורות מציגים שיח שוויוני ודמוקרטי כללי, אך לא עוסקים ישירות ובפירוט בשותפות יהודית־ערבית."
"לי הופמן אגיב","דעות","יהודים־ערבים, שוויון אזרחי וחיים משותפים","D-032","תמיכה בשוויון אזרחי גם כאשר הוא מחייב שינוי בחוקים, סמלים או חלוקת משאבים","unknown","לא נמצא מקור מספק בקובץ ההיגדים/פרופיל/מקורות הרשת שנבדקו; נשאר unknown לפי כלל לא לנחש","0","לא נמצא בסיס ישיר ומספיק במקורות שנבדקו לקביעה על היגד זה בלי ניחוש."
"לי הופמן אגיב","דעות","יהודים־ערבים, שוויון אזרחי וחיים משותפים","D-033","תמיכה בשותפות פוליטית יהודית־ערבית כחלק מבניית מחנה דמוקרטי רחב","unknown","לא נמצא מקור מספק בקובץ ההיגדים/פרופיל/מקורות הרשת שנבדקו; נשאר unknown לפי כלל לא לנחש","0","לא נמצא בסיס ישיר ומספיק במקורות שנבדקו לקביעה על היגד זה בלי ניחוש."
"לי הופמן אגיב","דעות","יהודים־ערבים, שוויון אזרחי וחיים משותפים","D-034","העדפה לשילוב אזרחים ערבים במוקדי קבלת החלטות, כולל בתחומים מדיניים וביטחוניים","unknown","לא נמצא מקור מספק בקובץ ההיגדים/פרופיל/מקורות הרשת שנבדקו; נשאר unknown לפי כלל לא לנחש","0","לא נמצא בסיס ישיר ומספיק במקורות שנבדקו לקביעה על היגד זה בלי ניחוש."
"לי הופמן אגיב","דעות","יהודים־ערבים, שוויון אזרחי וחיים משותפים","D-035","התנגדות לגזענות, הדרה או דה־לגיטימציה של הציבור הערבי בישראל","mixed","https://hagush.org.il/candidates.html ; https://www.leehoffmannagiv.com/ ; https://www.ynet.co.il/news/article/rjakywcvzl ; https://www.bonot.org/events/pgyst-mwbylwt-sth-hwdsyt-bwnwt-ltrntybh-pbrwr ; https://www.ynet.co.il/news/article/r1tpwbrp2 ; https://www.israelhayom.co.il/magazine/special/article/17474694","55","המקורות מציגים שיח שוויוני ודמוקרטי כללי, אך לא עוסקים ישירות ובפירוט בשותפות יהודית־ערבית."
"לי הופמן אגיב","דעות","יהודים־ערבים, שוויון אזרחי וחיים משותפים","D-036","הכרה בכך שחיים משותפים מחייבים גם התמודדות עם פחדים, טראומות וחוסר אמון בשני הצדדים","mixed","https://hagush.org.il/candidates.html ; https://www.leehoffmannagiv.com/ ; https://www.ynet.co.il/news/article/rjakywcvzl ; https://www.bonot.org/events/pgyst-mwbylwt-sth-hwdsyt-bwnwt-ltrntybh-pbrwr ; https://www.ynet.co.il/news/article/r1tpwbrp2 ; https://www.israelhayom.co.il/magazine/special/article/17474694","55","המקורות מציגים שיח שוויוני ודמוקרטי כללי, אך לא עוסקים ישירות ובפירוט בשותפות יהודית־ערבית."
"לי הופמן אגיב","דעות","ביטחון, פלסטינים והסדר מדיני","D-037","תמיכה בנתיב מדיני ארוך טווח מול הפלסטינים, גם לאחר שבעה באוקטובר","unknown","לא נמצא מקור מספק בקובץ ההיגדים/פרופיל/מקורות הרשת שנבדקו; נשאר unknown לפי כלל לא לנחש","0","לא נמצא בסיס ישיר ומספיק במקורות שנבדקו לקביעה על היגד זה בלי ניחוש."
"לי הופמן אגיב","דעות","ביטחון, פלסטינים והסדר מדיני","D-038","העדפה להיפרדות מדינית וביטחונית מהפלסטינים כדי לשמור על ישראל יהודית ודמוקרטית","unknown","לא נמצא מקור מספק בקובץ ההיגדים/פרופיל/מקורות הרשת שנבדקו; נשאר unknown לפי כלל לא לנחש","0","לא נמצא בסיס ישיר ומספיק במקורות שנבדקו לקביעה על היגד זה בלי ניחוש."
"לי הופמן אגיב","דעות","ביטחון, פלסטינים והסדר מדיני","D-039","תמיכה בפתרון שתי מדינות או במודל קרוב לו כיעד אסטרטגי","unknown","לא נמצא מקור מספק בקובץ ההיגדים/פרופיל/מקורות הרשת שנבדקו; נשאר unknown לפי כלל לא לנחש","0","לא נמצא בסיס ישיר ומספיק במקורות שנבדקו לקביעה על היגד זה בלי ניחוש."
"לי הופמן אגיב","דעות","ביטחון, פלסטינים והסדר מדיני","D-040","פתיחות למודלים מדיניים מורכבים כגון קונפדרציה, גבולות פתוחים או הסדר אזורי","unknown","לא נמצא מקור מספק בקובץ ההיגדים/פרופיל/מקורות הרשת שנבדקו; נשאר unknown לפי כלל לא לנחש","0","לא נמצא בסיס ישיר ומספיק במקורות שנבדקו לקביעה על היגד זה בלי ניחוש."
"לי הופמן אגיב","דעות","ביטחון, פלסטינים והסדר מדיני","D-041","התנגדות להמשך שליטה ישראלית קבועה על אוכלוסייה פלסטינית ללא זכויות אזר מלאות","unknown","לא נמצא מקור מספק בקובץ ההיגדים/פרופיל/מקורות הרשת שנבדקו; נשאר unknown לפי כלל לא לנחש","0","לא נמצא בסיס ישיר ומספיק במקורות שנבדקו לקביעה על היגד זה בלי ניחוש."
"לי הופמן אגיב","דעות","ביטחון, פלסטינים והסדר מדיני","D-042","ראיית הסדר אזורי עם מדינות ערביות מתונות כחלק מרכזי מהעתיד הביטחוני של ישראל","unknown","לא נמצא מקור מספק בקובץ ההיגדים/פרופיל/מקורות הרשת שנבדקו; נשאר unknown לפי כלל לא לנחש","0","לא נמצא בסיס ישיר ומספיק במקורות שנבדקו לקביעה על היגד זה בלי ניחוש."
"לי הופמן אגיב","דעות","שבעה באוקטובר, אחריות, חטופים וזיכרון לאומי","D-043","ראיית שבעה באוקטובר כאירוע שמחייב חשבון נפש מדינתי, מוסדי וחברתי עמוק","supports","https://hagush.org.il/candidates.html ; https://www.leehoffmannagiv.com/ ; https://www.ynet.co.il/news/article/rjakywcvzl ; https://www.bonot.org/events/pgyst-mwbylwt-sth-hwdsyt-bwnwt-ltrntybh-pbrwr ; https://www.ynet.co.il/news/article/r1tpwbrp2 ; https://www.israelhayom.co.il/magazine/special/article/17474694","80","המקורות מציינים הובלת מאבק ציבורי להשבת החטופים, אחריות שלטונית ומחויבות המדינה לאזרחיה לאחר 7 באוקטובר."
"לי הופמן אגיב","דעות","שבעה באוקטובר, אחריות, חטופים וזיכרון לאומי","D-044","תמיכה בוועדת חקירה ממלכתית ובאחריות אישית של הדרג המדיני והביטחוני","supports","https://hagush.org.il/candidates.html ; https://www.leehoffmannagiv.com/ ; https://www.ynet.co.il/news/article/rjakywcvzl ; https://www.bonot.org/events/pgyst-mwbylwt-sth-hwdsyt-bwnwt-ltrntybh-pbrwr ; https://www.ynet.co.il/news/article/r1tpwbrp2 ; https://www.israelhayom.co.il/magazine/special/article/17474694","80","המקורות מציינים הובלת מאבק ציבורי להשבת החטופים, אחריות שלטונית ומחויבות המדינה לאזרחיה לאחר 7 באוקטובר."
"לי הופמן אגיב","דעות","שבעה באוקטובר, אחריות, חטופים וזיכרון לאומי","D-045","ראיית החטופים והמשפחות כסמל מוסרי מרכזי של אחריות המדינה לאזרחיה","supports","https://hagush.org.il/candidates.html ; https://www.leehoffmannagiv.com/ ; https://www.ynet.co.il/news/article/rjakywcvzl ; https://www.bonot.org/events/pgyst-mwbylwt-sth-hwdsyt-bwnwt-ltrntybh-pbrwr ; https://www.ynet.co.il/news/article/r1tpwbrp2 ; https://www.israelhayom.co.il/magazine/special/article/17474694","80","המקורות מציינים הובלת מאבק ציבורי להשבת החטופים, אחריות שלטונית ומחויבות המדינה לאזרחיה לאחר 7 באוקטובר."
"לי הופמן אגיב","דעות","שבעה באוקטובר, אחריות, חטופים וזיכרון לאומי","D-046","התנגדות לשימוש פוליטי ציני בכאב של משפחות, נפגעים או קהילות שנפגעו במלחמה","supports","https://hagush.org.il/candidates.html ; https://www.leehoffmannagiv.com/ ; https://www.ynet.co.il/news/article/rjakywcvzl ; https://www.bonot.org/events/pgyst-mwbylwt-sth-hwdsyt-bwnwt-ltrntybh-pbrwr ; https://www.ynet.co.il/news/article/r1tpwbrp2 ; https://www.israelhayom.co.il/magazine/special/article/17474694","80","המקורות מציינים הובלת מאבק ציבורי להשבת החטופים, אחריות שלטונית ומחויבות המדינה לאזרחיה לאחר 7 באוקטובר."
